epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.866,1.57198,1.44203,0.00319,0.70135,0.66042,0.73998,0.49943,1.30897,1.09153,0.00361,0.000199655,0.000199655,0.0802342
2,236.676,1.46091,1.09286,0.00292,0.7905,0.7809,0.8451,0.57377,1.23159,0.79839,0.00332,0.000399611,0.000399611,0.0604342
3,314.15,1.43155,1.00999,0.00279,0.81189,0.80633,0.86742,0.59397,1.20558,0.73738,0.00318,0.000599394,0.000599394,0.0406339
4,398.069,1.39532,0.9478,0.00275,0.81948,0.79713,0.87105,0.59083,1.23694,0.72706,0.00323,0.000798873,0.000798873,0.0208334
5,482.096,1.39614,0.92292,0.00273,0.81995,0.81564,0.88249,0.60629,1.21057,0.70767,0.00315,0.000997919,0.000997919,0.00103246
6,559.91,1.36582,0.87427,0.00266,0.84158,0.82018,0.89549,0.62703,1.16282,0.67871,0.00299,0.000997288,0.000997288,0.000997288
7,627.338,1.35714,0.8516,0.00263,0.84378,0.8283,0.90373,0.63982,1.15603,0.62926,0.00299,0.000996097,0.000996097,0.000996097
8,689.453,1.35331,0.84196,0.00262,0.84943,0.82518,0.90178,0.62669,1.1893,0.62863,0.00314,0.00099469,0.00099469,0.00099469
9,748.252,1.34754,0.83481,0.00261,0.85323,0.82948,0.90288,0.6437,1.1568,0.61465,0.003,0.000993068,0.000993068,0.000993068
10,809.153,1.33979,0.80317,0.00259,0.84825,0.83494,0.9045,0.64915,1.145,0.61083,0.00296,0.000991232,0.000991232,0.000991232
11,867.842,1.3358,0.78864,0.00257,0.86261,0.84191,0.91212,0.64405,1.16053,0.59458,0.00304,0.000989183,0.000989183,0.000989183
12,926.057,1.32844,0.78715,0.00255,0.85858,0.84442,0.91566,0.65239,1.13913,0.58871,0.00293,0.000986922,0.000986922,0.000986922
13,984.21,1.33038,0.78754,0.00256,0.84077,0.85618,0.91238,0.64221,1.17498,0.61856,0.00309,0.000984449,0.000984449,0.000984449
14,1042.13,1.32362,0.77654,0.00253,0.85546,0.85684,0.91887,0.65044,1.14452,0.57928,0.00294,0.000981765,0.000981765,0.000981765
15,1100.57,1.30963,0.75919,0.00251,0.87249,0.84549,0.92129,0.65647,1.13471,0.5715,0.00294,0.000978873,0.000978873,0.000978873
16,1158.82,1.31157,0.76217,0.00252,0.86181,0.84358,0.91831,0.65642,1.14067,0.56743,0.00296,0.000975773,0.000975773,0.000975773
